Port_Lincoln	isLocatedIn Australia
Bernie_Lilavois	hasGender	male
Waldshut_(district)	isLocatedIn	Freiburg_(region)
Artavazd_Karamyan	isAffiliatedTo	FC_Clinceni
Artavazd_Karamyan	playsFor	FC_Pyunik
Artavazd_Karamyan	hasGender	male
Skopje_Statistical_Region	isLocatedIn	Republic_of_Macedonia
Ingolstadt	isLocatedIn	Germany
Neill_Roberts	playsFor	Atlanta_Chiefs
Neill_Roberts	hasGender	male
Neill_Roberts	isAffiliatedTo	Tampa_Bay_Rowdies_(1975–93)
Albert_Bunjaku	isAffiliatedTo	SC_Paderborn_07
Albert_Bunjaku	playsFor	FC_Schaffhausen
Albert_Bunjaku	hasGender	male
John_Phillips_(musician)	diedIn	Los_Angeles
John_Phillips_(musician)	hasGender	male
John_Phillips_(musician)	hasMusicalRole	wordnet_harmonica_103494278
Danny_Elfman	hasMusicalRole	wordnet_trombone_104487394
Danny_Elfman	wroteMusicFor	Mars_Attacks!
Danny_Elfman	hasWonPrize	Saturn_Award
Danny_Elfman	wasBornIn	Los_Angeles
Danny_Elfman	hasGender	male
Salzburg_Airport	isConnectedTo	Exeter_International_Airport
Warren_County,_Mississippi	isLocatedIn	Mississippi
Steve_Melton	playsFor	Grantham_Town_F.C.
Steve_Melton	isAffiliatedTo	Lincoln_United_F.C.
Steve_Melton	hasGender	male
Tishman_Speyer	owns	Radio_City_Music_Hall
Tishman_Speyer	isLocatedIn	New_York_City
Jeff_Lynne	hasMusicalRole	wordnet_cello_102992211
Jeff_Lynne	wasBornIn	Birmingham
Jeff_Lynne	hasWonPrize	Ivor_Novello_Awards
Penza_Oblast	isLocatedIn	Penza_(Russia)
Penza_Oblast	hasCapital	Penza_(Russia)
Dorothy_L._Sayers	wasBornIn	Oxford
Dorothy_L._Sayers	influences	Ruth_Rendell
British_Virgin_Islands	dealsWith	United_States_Virgin_Islands
British_Virgin_Islands	imports	wordnet_machinery_103701640
British_Virgin_Islands	isLocatedIn	Caribbean
British_Virgin_Islands	hasCurrency	United_States_dollar
Lee_Molyneux	isAffiliatedTo	Crewe_Alexandra_F.C.
Lee_Molyneux	playsFor	Crewe_Alexandra_F.C.
Lee_Molyneux	wasBornIn	Huyton
Lee_Molyneux	hasGender	male
North_Denmark_Region	hasCapital	Aalborg
North_Denmark_Region	isLocatedIn	Denmark
Tuncay_Şanlı	isAffiliatedTo	Turkey_national_under-20_football_team
Tuncay_Şanlı	playsFor	Bursaspor
Tuncay_Şanlı	wasBornIn	Adapazarı
Tuncay_Şanlı	hasGender	male
Pajtim_Kasami	isAffiliatedTo	FC_Luzern
Pajtim_Kasami	playsFor	Switzerland_national_under-17_football_team
Pajtim_Kasami	hasGender	male
Walsall	isLocatedIn	England
Philip_Yordan	hasWonPrize	Edgar_Award
Philip_Yordan	hasGender	male
Philip_Yordan	wasBornIn	Chicago
Massimo_Borgobello	isAffiliatedTo	A.C._Chievo_Verona
Massimo_Borgobello	playsFor	A.C._Monza_Brianza_1912
Massimo_Borgobello	hasGender	male
Intel	isLocatedIn	California
Adrian_Hayes	isAffiliatedTo	Farnborough_F.C.
Adrian_Hayes	playsFor	Cambridge_City_F.C.
Adrian_Hayes	wasBornIn	Norwich
Vladimir_Chelomey	hasWonPrize	Lenin_Prize
Vladimir_Chelomey	diedIn	Moscow
Vladimir_Chelomey	playsFor	FC_Ufa
Vladimir_Chelomey	isCitizenOf	Soviet_Union
Vladimir_Chelomey	hasGender	male
Vladimir_Chelomey	wasBornIn	Siedlce
James_Needs	hasGender	male
Branko_Šegota	isAffiliatedTo	St._Louis_Storm
Branko_Šegota	playsFor	Canada_men's_national_soccer_team
Khazar_Lankaran_FK	owns	Azerbaijan
San_Salvador_Department	isLocatedIn	El_Salvador
Portland_Thorns_FC	isLocatedIn	Portland,_Oregon
League_of_Communists_of_Yugoslavia	isLocatedIn	Belgrade
Will_Young	hasGender	male
Will_Young	hasWonPrize	Ivor_Novello_Awards
Will_Young	wasBornIn	Reading_(England)
Will_Young	hasMusicalRole	wordnet_vocal_music_107282006
Charlene_Choi	hasMusicalRole	wordnet_vocal_music_107282006
Charlene_Choi	wasBornIn	Vancouver
Charlene_Choi	hasGender	female
Nenad_Kovačević	isAffiliatedTo	Nîmes_Olympique
Nenad_Kovačević	playsFor	FC_UTA_Arad
Nenad_Kovačević	hasGender	male
Brazzaville	isLocatedIn	Africa
Grand_Rapids	isLocatedIn	United_States
Steve_White_(footballer)	playsFor	Bath_City_F.C.
Steve_White_(footballer)	isAffiliatedTo	Hereford_United_F.C.
Stephenson_County	isLocatedIn	Freeport,_Illinois
Billy_Sullivan_(American_football)	hasGender	male
Jehad_Muntasser	isAffiliatedTo	Perugia_Calcio
Jehad_Muntasser	playsFor	Libya_national_football_team
Kharkiv_Oblast	isLocatedIn	Kharkiv
Kharkiv_Oblast	hasOfficialLanguage	Russian_language
Roy_Del_Ruth	hasGender	male
Bill_Callahan_(musician)	hasGender	male
Canada	participatedIn	Western_Front_(World_War_II)
Canada	isLocatedIn	North_America
Canada	dealsWith	South_Korea
Canada	hasNeighbor	United_States
Canada	hasOfficialLanguage	English_language
Canada	imports	wordnet_petroleum_114980579
Canada	hasCapital	Toronto
Gabriel_Marcel	influences	Peter_Rollins
Gabriel_Marcel	hasGender	male
Gabriel_Marcel	diedIn	Paris
Gabriel_Marcel	hasWonPrize	Peace_Prize_of_the_German_Book_Trade
Joseph_Ujlaki	playsFor	AS_Aix
Joseph_Ujlaki	diedIn	Sète
Joseph_Ujlaki	isAffiliatedTo	FC_Metz
Joseph_Ujlaki	wasBornIn	Budapest
Igor_Pamić	hasGender	male
Igor_Pamić	isAffiliatedTo	F.C._Sochaux-Montbéliard
Igor_Pamić	playsFor	Grazer_AK
Van_Dyke_Parks	hasMusicalRole	wordnet_accordion_102672831
Van_Dyke_Parks	wasBornIn	Hattiesburg,_Mississippi
Van_Dyke_Parks	hasGender	male
Västervik_Municipality	isLocatedIn	Kalmar_County
New_Albany,_Indiana	isLocatedIn	Indiana
Zamalek_Sporting_Club	isLocatedIn	Cairo
Ferran_Corominas	isAffiliatedTo	Spain_national_under-20_football_team
Ferran_Corominas	playsFor	RCD_Espanyol
Ferran_Corominas	hasGender	male
Velenje	isLocatedIn	nl/Velenje_(gemeente)
Les_Ulis	isLocatedIn	France
Mauritania	dealsWith	Belgium
Mauritania	exports	wordnet_gold_113371760
Mauritania	participatedIn	Insurgency_in_the_Maghreb_(2002–present)
Mauritania	hasOfficialLanguage	Arabic_language
Mauritania	hasCapital	Nouakchott
Mauritania	hasNeighbor	Senegal
Mauritania	isLocatedIn	Africa
Mauritania	imports	wordnet_food_100021265
Dick_Powell	isMarriedTo	Joan_Blondell
Dick_Powell	hasGender	male
Denmark	dealsWith	Sweden
Denmark	participatedIn	Operation_Active_Endeavour
Denmark	imports	wordnet_chemical_114806838
Denmark	isLocatedIn	Europe
Denmark	hasNeighbor	Germany
Denmark	exports	wordnet_fish_102512053
Denmark	owns	European_Space_Agency
Denmark	hasOfficialLanguage	German_language
Henry_Fonda	actedIn	Tales_of_Manhattan
Henry_Fonda	hasWonPrize	Grammy_Award
Henry_Fonda	created	The_Story_of_Alexander_Graham_Bell
Henry_Fonda	diedIn	Los_Angeles
Henry_Fonda	isAffiliatedTo	Democratic_Party_(United_States)
Henry_Fonda	graduatedFrom	University_of_Minnesota
Henry_Fonda	wasBornIn	Grand_Island,_Nebraska
Henry_Fonda	hasGender	male
Henry_Fonda	isMarriedTo	Margaret_Sullavan
Henry_Fonda	hasChild	Peter_Fonda
Stuart_Noble	playsFor	Northampton_Town_F.C.
Stuart_Noble	isAffiliatedTo	Torquay_United_F.C.
Stuart_Noble	wasBornIn	Edinburgh
Stuart_Noble	hasGender	male
Maroussi_B.C.	isLocatedIn	Athens
Mathias_Jack	playsFor	FC_Erzgebirge_Aue
Mathias_Jack	isAffiliatedTo	Rot-Weiss_Essen
Mathias_Jack	wasBornIn	Leipzig
Simone_Loria	isAffiliatedTo	Juventus_F.C.
Simone_Loria	playsFor	Cagliari_Calcio
Simone_Loria	wasBornIn	Turin
Simone_Loria	hasGender	male
Alfreton_Town_F.C.	isLocatedIn	Derbyshire
Plzeň-North_District	isLocatedIn	Czech_Republic
Christine_Baranski	hasWonPrize	Tony_Award
Christine_Baranski	wasBornIn	Buffalo,_New_York
Darbhanga_district	isLocatedIn	Bihar
Wagneau_Eloi	hasGender	male
Wagneau_Eloi	isAffiliatedTo	R.A.A._Louviéroise
Wagneau_Eloi	playsFor	K.S.V._Roeselare
Wagneau_Eloi	wasBornIn	Port-au-Prince
Bitola_Municipality	isLocatedIn	Bitola
Bitola_Municipality	owns	FK_Pelister
Valdenir_da_Silva_Vitalino	hasGender	male
Valdenir_da_Silva_Vitalino	playsFor	Clube_de_Regatas_do_Flamengo
Valdenir_da_Silva_Vitalino	isAffiliatedTo	Macaé_Esporte_Futebol_Clube
Ekundayo_Jayeoba	isAffiliatedTo	PFC_Levski_Sofia
Ekundayo_Jayeoba	wasBornIn	Lagos
Ekundayo_Jayeoba	playsFor	PFC_Levski_Sofia
Ekundayo_Jayeoba	hasGender	male
Kristijan_Polovanec	playsFor	MŠK_Žilina
Kristijan_Polovanec	isAffiliatedTo	NK_Varaždin
Kristijan_Polovanec	hasGender	male
Kristijan_Polovanec	wasBornIn	Zagreb
Joe_Bacuzzi	playsFor	Bury_F.C.
Joe_Bacuzzi	hasGender	male
Joe_Bacuzzi	isAffiliatedTo	Reading_F.C.
Joe_Bacuzzi	wasBornIn	London
HDD_Olimpija_Ljubljana	isLocatedIn	Slovenia
Wrexham	isLocatedIn	Wales
Montauban	isLocatedIn	Midi-Pyrénées
Miroslav_Blažević	wasBornIn	Travnik
Miroslav_Blažević	isAffiliatedTo	F.C._Nantes
Miroslav_Blažević	hasGender	male
Bron	isLocatedIn	France
Elizabeth_II	isLeaderOf	Saint_Lucia
Elizabeth_II	isMarriedTo	Prince_Philip,_Duke_of_Edinburgh
Elizabeth_II	hasWonPrize	Order_of_the_Nile
Elizabeth_II	hasChild	Anne,_Princess_Royal
Elizabeth_II	wasBornIn	London
Elizabeth_II	hasGender	female
Erlangen	isLocatedIn	Bavaria
William_Mitchell_College_of_Law	isLocatedIn	United_States
Sedgemoor	isLocatedIn	United_Kingdom
Guinea-Bissau	dealsWith	United_States
Guinea-Bissau	isLocatedIn	Africa
Guinea-Bissau	exports	wordnet_cotton_114870078
Guinea-Bissau	imports	wordnet_machinery_103701640
Greater_Rochester_International_Airport	isConnectedTo	O'Hare_International_Airport
Nazar_Baýramow	isAffiliatedTo	FC_Astana
Nazar_Baýramow	playsFor	FC_Vorskla_Poltava
Nazar_Baýramow	hasGender	male
Dorados_de_Sinaloa	isLocatedIn	Sinaloa
Petrojet_FC	isLocatedIn	Egypt
Žilina	isLocatedIn	Žilina_District
Gulpen-Wittem	isLocatedIn	Limburg_(Netherlands)
Litchfield_Hills	isLocatedIn	Litchfield_County,_Connecticut
Sami_Allagui	isAffiliatedTo	FC_Carl_Zeiss_Jena
Sami_Allagui	wasBornIn	Düsseldorf
Sami_Allagui	playsFor	1._FSV_Mainz_05
Sami_Allagui	hasGender	male
Christophe_Galtier	playsFor	Toulouse_FC
Christophe_Galtier	hasGender	male
Christophe_Galtier	isAffiliatedTo	S.C._Bastia
Christophe_Galtier	wasBornIn	Marseille
Ranko_Despotović	isAffiliatedTo	FK_Loznica
Ranko_Despotović	playsFor	Serbia_national_football_team
Marcos_Pizzelli	isAffiliatedTo	FC_Krasnodar
Marcos_Pizzelli	hasGender	male
Marcos_Pizzelli	playsFor	FC_Aktobe
Pardubice_Region	isLocatedIn	Czech_Republic
Pardubice_Region	hasCapital	Pardubice
City_College_of_New_York	isLocatedIn	New_York_City
Eskilstuna_Municipality	isLocatedIn	Södermanland_County
San_Marcos,_California	isLocatedIn	California
Madison	isLocatedIn	Dane_County,_Wisconsin
Gmina_Krzywiń	isLocatedIn	Kościan_County
Suffolk,_Virginia	isLocatedIn	Virginia
Kennewick,_Washington	isLocatedIn	Benton_County,_Washington
Lac_qui_Parle_County,_Minnesota	isLocatedIn	Minnesota
Squaw_Valley,_Placer_County,_California	isLocatedIn	Placer_County,_California
José_María_Movilla	isAffiliatedTo	Málaga_CF
José_María_Movilla	playsFor	Málaga_CF
Lionel_Messi	isAffiliatedTo	FC_Barcelona_B
Lionel_Messi	playsFor	FC_Barcelona_C
Lionel_Messi	livesIn	Barcelona
Lionel_Messi	hasGender	male
Lionel_Messi	isCitizenOf	Argentina
Lionel_Messi	hasWonPrize	Ballon_d'Or_(1956–2009)
Lionel_Messi	wasBornIn	Rosario,_Santa_Fe
Lakewood,_Colorado	isLocatedIn	Colorado
Benzie_County,_Michigan	isLocatedIn	Michigan
Stara_Zagora	isLocatedIn	Bulgaria
Robbie_Turner	isAffiliatedTo	Notts_County_F.C.
Robbie_Turner	playsFor	Notts_County_F.C.
Robbie_Turner	hasGender	male
Innocent_(actor)	hasWonPrize	Kerala_State_Film_Award
Innocent_(actor)	hasGender	male
Namibia	dealsWith	South_Africa
Namibia	hasNeighbor	Angola
Namibia	participatedIn	Second_Congo_War
Namibia	hasCapital	Windhoek
Namibia	exports	wordnet_gold_113371760
Namibia	hasOfficialLanguage	English_language
Namibia	isLocatedIn	Africa
Namibia	imports	wordnet_chemical_114806838
Carlton_Palmer	isAffiliatedTo	England_national_under-21_football_team
Carlton_Palmer	playsFor	Stockport_County_F.C.
Carmarthen	isLocatedIn	Wales
Sylvia_Plath	influences	Gary_Forrester
Sylvia_Plath	isMarriedTo	Ted_Hughes
Sylvia_Plath	hasWonPrize	Fulbright_Program
Sylvia_Plath	diedIn	London
Sylvia_Plath	hasGender	female
Sylvia_Plath	graduatedFrom	Smith_College
Sylvia_Plath	wasBornIn	Boston
Caldwell,_Idaho	isLocatedIn	Idaho
Chris_Lemons	isAffiliatedTo	Virginia_Beach_Mariners
Chris_Lemons	playsFor	Charlotte_Eagles
Chris_Lemons	hasGender	male
Chris_Lemons	wasBornIn	Wichita,_Kansas
Ukrainian_War_of_Independence	happenedIn	Second_Polish_Republic
Joe_Ira_Clark	isAffiliatedTo	Fenerbahçe_Men's_Basketball
Joe_Ira_Clark	hasGender	male
George_Santayana	isInterestedIn	Philosophy_of_religion
George_Santayana	graduatedFrom	Harvard_University
George_Santayana	influences	Alfred_North_Whitehead
George_Santayana	hasGender	male
George_Santayana	isCitizenOf	Spain
George_Santayana	wasBornIn	Madrid
Wallonia	hasCapital	Namur
Wallonia	owns	Brussels_South_Charleroi_Airport
Iskandar_Airport	isConnectedTo	Achmad_Yani_International_Airport
Iskandar_Airport	isLocatedIn	Indonesia
ǁKaras_Region	isLocatedIn	Namibia
Veendam	isLocatedIn	Netherlands
HKS,_Inc.	isLocatedIn	Dallas
Gustav_I_of_Sweden	hasGender	male
Gustav_I_of_Sweden	diedIn	Stockholm
Ken_Charlery	isAffiliatedTo	Harrow_Borough_F.C.
Ken_Charlery	playsFor	Southend_United_F.C.
Ken_Charlery	hasGender	male
Ken_Charlery	wasBornIn	London
Enes_Demirović	playsFor	HNK_Hajduk_Split
Enes_Demirović	isAffiliatedTo	İstanbulspor_A.Ş.
Enes_Demirović	hasGender	male
Mitt_Romney	wasBornIn	Detroit
Mitt_Romney	livesIn	California
Mitt_Romney	graduatedFrom	Harvard_University
Mitt_Romney	isPoliticianOf	Massachusetts
Mitt_Romney	isAffiliatedTo	Republican_Party_(United_States)
Mitt_Romney	created	Bain_Capital
Clarksville,_Tennessee	isLocatedIn	United_States
Monastir_Governorate	isLocatedIn	Monastir
Steven_Boyack	playsFor	Dundee_F.C.
Steven_Boyack	hasGender	male
Steven_Boyack	isAffiliatedTo	Ayr_United_F.C.
Steven_Boyack	wasBornIn	Edinburgh
Gmina_Łaziska	isLocatedIn	Opole_Lubelskie_County
Gennevilliers	isLocatedIn	Île-de-France
Frédéric_Chopin	playsFor	S.B.V._Excelsior
Frédéric_Chopin	hasGender	male
Frédéric_Chopin	isMarriedTo	George_Sand
Frédéric_Chopin	diedIn	Paris
Toledo_Province	isLocatedIn	Castile-La_Mancha
Toledo_Province	hasCapital	Toledo_(Spain)
South_West_Delhi	isLocatedIn	Delhi
Montreux	isLocatedIn	Switzerland
Lille_Airport	isConnectedTo	Figari_Sud-Corse_Airport
Jean_Paulista	isAffiliatedTo	Imortal_DC
Jean_Paulista	playsFor	F.C._Maia
Jean_Paulista	hasGender	male
Sead_Hadžibulić	playsFor	FK_Javor_Ivanjica
Sead_Hadžibulić	isAffiliatedTo	FK_Javor_Ivanjica
Sead_Hadžibulić	hasGender	male
Forest_Whitaker	graduatedFrom	New_York_University
Forest_Whitaker	hasGender	male
Forest_Whitaker	hasWonPrize	Emmy_Award
Forest_Whitaker	actedIn	Prêt-à-Porter_(film)
Nord_(department)	isLocatedIn	Nord-Pas-de-Calais
Nord_(department)	hasCapital	Lille
Turku	isLocatedIn	Western_Finland
Lester_Meléndez	playsFor	University_of_Massachusetts_Amherst
Lester_Meléndez	isAffiliatedTo	University_of_Massachusetts_Amherst
Richland_County,_South_Carolina	isLocatedIn	South_Carolina
Szydłowiec_County	isLocatedIn	Mazowieckie
Victoria_University_of_Manchester	isLocatedIn	Manchester
Federico_Nieto	playsFor	C.F._Estrela_da_Amadora
Federico_Nieto	isAffiliatedTo	Clube_Atlético_Paranaense
Federico_Nieto	wasBornIn	Buenos_Aires
Federico_Nieto	hasGender	male
France_national_football_team	hasWonPrize	Laureus_World_Sports_Awards
FC_Shinnik_Yaroslavl	isLocatedIn	Cairo
Sherilyn_Fenn	actedIn	Twin_Peaks
Gmina_Sterdyń	isLocatedIn	Masovian_Voivodeship
Gelnhausen	isLocatedIn	Central_Europe
Claremore,_Oklahoma	isLocatedIn	United_States
Circuit_de_Monaco	isLocatedIn	Monaco
Sam_O'Steen	wasBornIn	Paragould,_Arkansas
Sam_O'Steen	diedIn	Atlantic_City,_New_Jersey
Sam_O'Steen	hasGender	male
Geoff_Aunger	playsFor	Chester_City_F.C.
Geoff_Aunger	isAffiliatedTo	Hamilton_Steelers_(1986–1992)
Geoff_Aunger	hasGender	male
Michael_Moriarty	hasGender	male
Michael_Moriarty	wasBornIn	Detroit
Michael_Moriarty	actedIn	Taken_(TV_miniseries)
Michael_Moriarty	hasWonPrize	Golden_Globe_Award
Silvio_Lafuenti	isAffiliatedTo	A.C._Savoia_1908
Silvio_Lafuenti	hasGender	male
Silvio_Lafuenti	playsFor	A.S._Livorno_Calcio
Rafael_Gomes	isAffiliatedTo	Itumbiara_Esporte_Clube
Rafael_Gomes	playsFor	Vila_Nova_Futebol_Clube
Rafael_Gomes	hasGender	male
Rafael_Gomes	wasBornIn	Rio_de_Janeiro
Mark_Liveric	isAffiliatedTo	New_York_Cosmos
Mark_Liveric	playsFor	Kansas_City_Comets
Mark_Liveric	hasGender	male
Clark_County,_Wisconsin	isLocatedIn	Wisconsin
Calicut_International_Airport	isConnectedTo	Chhatrapati_Shivaji_International_Airport
Calicut_International_Airport	isLocatedIn	Kerala
Wassily_Leontief	influences	James_Tobin
Wassily_Leontief	playsFor	K._Patro_Eisden_Maasmechelen
Wassily_Leontief	isCitizenOf	United_States
Wassily_Leontief	hasWonPrize	Nobel_Prize_in_Economics
Wassily_Leontief	hasGender	male
Wassily_Leontief	graduatedFrom	Saint_Petersburg_State_University
Wassily_Leontief	diedIn	New_York_City
Wassily_Leontief	wasBornIn	Munich
Gaël_Kakuta	playsFor	Vitesse
Gaël_Kakuta	hasGender	male
Gaël_Kakuta	isAffiliatedTo	Dijon_FCO
Gaël_Kakuta	wasBornIn	Lille
Frank_O'Neill_(footballer)	playsFor	St_Patrick's_Athletic_F.C.
Frank_O'Neill_(footballer)	wasBornIn	Dublin
Frank_O'Neill_(footballer)	isAffiliatedTo	Dundalk_F.C.
Rafael_Amaya_(soccer)	isAffiliatedTo	Wichita_Wings
Rafael_Amaya_(soccer)	playsFor	Wichita_Wings
Rafael_Amaya_(soccer)	hasGender	male
Dave_Reeves	isAffiliatedTo	Notts_County_F.C.
Dave_Reeves	wasBornIn	Birkenhead
Dave_Reeves	playsFor	Carlisle_United_F.C.
Kärla	isLocatedIn	Saare_County
Leonardo_André_Pimenta_Faria	playsFor	F.C._Marco
Leonardo_André_Pimenta_Faria	hasGender	male
Leonardo_André_Pimenta_Faria	isAffiliatedTo	Hatta_Club
Leonardo_André_Pimenta_Faria	wasBornIn	Rio_de_Janeiro
Kırklareli_Province	isLocatedIn	Marmara_(region)
FK_Viktoria_Žižkov	isLocatedIn	Prague
Nassim_Akrour	isAffiliatedTo	FC_Istres
Nassim_Akrour	playsFor	FC_Istres
Nassim_Akrour	wasBornIn	Courbevoie
Harlan_Coben	hasWonPrize	Shamus_Award
Harlan_Coben	isCitizenOf	United_States
Harlan_Coben	graduatedFrom	Amherst_College
Harlan_Coben	wasBornIn	Newark,_New_Jersey
Harlan_Coben	hasGender	male
Robert_Vaughn	graduatedFrom	University_of_Minnesota
Robert_Vaughn	livesIn	Ridgefield,_Connecticut
Robert_Vaughn	wasBornIn	New_York_City
Robert_Vaughn	isAffiliatedTo	Democratic_Party_(United_States)
Billy_Preston	hasMusicalRole	wordnet_accordion_102672831
Billy_Preston	diedIn	Scottsdale,_Arizona
Billy_Preston	hasWonPrize	Grammy_Award
Billy_Preston	hasGender	male
Billy_Preston	wasBornIn	Houston
University_of_Würzburg	isLocatedIn	Germany
Carl_Alford	playsFor	Stockport_County_F.C.
Carl_Alford	isAffiliatedTo	Doncaster_Rovers_F.C.
Carl_Alford	hasGender	male
Oumar_Dieng	hasGender	male
Oumar_Dieng	isAffiliatedTo	Lille_OSC
Oumar_Dieng	playsFor	Kavala_F.C.
Oumar_Dieng	wasBornIn	Dakar
Liam_Howlett	hasMusicalRole	wordnet_keyboard_103614007
Liam_Howlett	hasGender	male
Social_Party_of_National_Unity	isLocatedIn	Colombia
Baldwin_County_(Alabama)	isLocatedIn	Alabama
Gmina_Maszewo,_West_Pomeranian_Voivodeship	isLocatedIn	West_Pomeranian_Voivodeship
Olgierd_Moskalewicz	isAffiliatedTo	Diyarbakırspor
Olgierd_Moskalewicz	playsFor	Pogoń_Szczecin
Peru	imports	wordnet_chemical_114806838
Peru	dealsWith	Japan
Peru	hasNeighbor	Bolivia
Peru	exports	wordnet_chemical_114806838
Peru	isLocatedIn	South_America
Peru	hasCapital	Lima
Peru	hasOfficialLanguage	Spanish_language
Branko_Stanković	isAffiliatedTo	Yugoslavia_national_football_team
Branko_Stanković	playsFor	Red_Star_Belgrade
Branko_Stanković	diedIn	Belgrade
Branko_Stanković	hasGender	male
Branko_Stanković	wasBornIn	Sarajevo
Opole_County	hasCapital	Opole
Opole_County	isLocatedIn	Opole_Voivodeship
Nicholas_of_Cusa	influences	Georg_Wilhelm_Friedrich_Hegel
Nicholas_of_Cusa	hasGender	male
Manfred_Mann's_Earth_Band	hasGender	male
Zafer_Biryol	isAffiliatedTo	Beşiktaş_J.K.
Zafer_Biryol	playsFor	Altay_S.K.
Zafer_Biryol	hasGender	male
Lidzbark_Warmiński	isLocatedIn	Lidzbark_County
Smolyan	isLocatedIn	Rhodope_Mountains
Riom	isLocatedIn	Auvergne_(region)
Sutton_Coldfield	isLocatedIn	West_Midlands_(county)
Jon_Bewers	playsFor	Kettering_Town_F.C.
Jon_Bewers	isAffiliatedTo	Stamford_A.F.C.
Jon_Bewers	hasGender	male
Francesco_Cossiga	hasChild	Amintore_Fanfani
Francesco_Cossiga	isAffiliatedTo	Italian_Socialist_Party
Francesco_Cossiga	hasWonPrize	Order_of_the_Star_of_Italian_Solidarity
Francesco_Cossiga	hasGender	male
Francesco_Cossiga	diedIn	Rome
Francesco_Cossiga	wasBornIn	Sassari
Francesco_Cossiga	isPoliticianOf	Italy
Colin_Cameron_(footballer)	playsFor	Scotland_national_football_team
Colin_Cameron_(footballer)	isAffiliatedTo	Wolverhampton_Wanderers_F.C.
Colin_Cameron_(footballer)	wasBornIn	Kirkcaldy
Patrick_White	influences	Janet_Frame
Patrick_White	hasWonPrize	Nobel_Prize_in_Literature
Patrick_White	graduatedFrom	University_of_Cambridge
Patrick_White	diedIn	Sydney
Patrick_White	wasBornIn	London
Patrick_White	hasGender	male
Patrick_White	isCitizenOf	Australia
Beto_(Portuguese_footballer_born_1976)	isAffiliatedTo	UD_Alzira
Beto_(Portuguese_footballer_born_1976)	playsFor	S.C._Campomaiorense
Beto_(Portuguese_footballer_born_1976)	hasGender	male
Beto_(Portuguese_footballer_born_1976)	wasBornIn	Lisbon
Beto_(Portuguese_footballer_born_1976)	hasWonPrize	Order_of_Prince_Henry
Khalid_Fouhami	isAffiliatedTo	FC_Alania_Vladikavkaz
Khalid_Fouhami	playsFor	MAS_Fez
Khalid_Fouhami	wasBornIn	Casablanca
Khalid_Fouhami	hasGender	male
Estanislao_Struway	playsFor	Racing_Club_de_Avellaneda
Estanislao_Struway	isAffiliatedTo	Cerro_Porteño
Estanislao_Struway	hasGender	male
Luís_Filipe_(Portuguese_footballer)	isAffiliatedTo	Sporting_Clube_de_Portugal
Luís_Filipe_(Portuguese_footballer)	hasGender	male
Luís_Filipe_(Portuguese_footballer)	playsFor	C.S._Marítimo
Luciano_Amaral	playsFor	Esporte_Clube_Bahia
Luciano_Amaral	isAffiliatedTo	Esporte_Clube_Bahia
Luciano_Amaral	wasBornIn	Campina_Grande
Luciano_Amaral	hasGender	male
Bojnord_County	isLocatedIn	North_Khorasan_Province
Sarajevo	isLocatedIn	Sarajevo_Region
Dion_Esajas	playsFor	SC_Paderborn_07
Dion_Esajas	isAffiliatedTo	SC_Paderborn_07
Dion_Esajas	wasBornIn	Amsterdam
Dion_Esajas	hasGender	male
Jaunpur_district	isLocatedIn	Uttar_Pradesh
Aquileia	isLocatedIn	Friuli-Venezia_Giulia
Ray_Henderson	wasBornIn	Buffalo,_New_York
Ray_Henderson	hasGender	male
Daz_Dillinger	hasGender	male
Hamilton,_Ontario	isLocatedIn	Ontario
Steve_Book	playsFor	Weston-super-Mare_A.F.C.
Steve_Book	isAffiliatedTo	Swindon_Town_F.C.
Steve_Book	wasBornIn	Bournemouth
Steve_Book	hasGender	male
Paul_Peschisolido	playsFor	Fulham_F.C.
Paul_Peschisolido	isAffiliatedTo	Birmingham_City_F.C.
Paul_Peschisolido	wasBornIn	Scarborough,_Ontario
Paul_Peschisolido	hasGender	male
Grodno	isLocatedIn	Grodno_Region
Neil_Martin	isAffiliatedTo	Hibernian_F.C.
Neil_Martin	playsFor	Crystal_Palace_F.C.
Neil_Martin	hasGender	male
Montluçon	isLocatedIn	France
Simon_Colosimo	isAffiliatedTo	Australia_national_under-23_association_football_team
Simon_Colosimo	playsFor	Australia_national_under-23_association_football_team
Simon_Colosimo	wasBornIn	Melbourne
Simon_Colosimo	hasGender	male
Anton_Chekhov	influences	M._T._Vasudevan_Nair
Anton_Chekhov	hasWonPrize	Pushkin_Prize
Anton_Chekhov	isCitizenOf	Russian_Empire
Anton_Chekhov	graduatedFrom	Moscow_State_University
Anton_Chekhov	wasBornIn	Taganrog
Anton_Chekhov	hasGender	male
Mopti_Cercle	isLocatedIn	Mali
James_Thurber	influences	Bob_Newhart
James_Thurber	diedIn	New_York_City
James_Thurber	wasBornIn	Columbus,_Ohio
James_Thurber	hasGender	male
Kiên_Giang_Province	isLocatedIn	Vietnam
Dumisa_Ngobe	playsFor	Hoàng_Anh_Gia_Lai_F.C.
Dumisa_Ngobe	hasGender	male
Dumisa_Ngobe	isAffiliatedTo	Hoàng_Anh_Gia_Lai_F.C.
Derry	isLocatedIn	Northern_Ireland
Élan_Chalon	isLocatedIn	Chalon-sur-Saône
Germany_women's_national_football_team	hasWonPrize	Silbernes_Lorbeerblatt
